user_id,business_id,year,month,day,likes,text
lJ2rbcLTtIVKW2WzC0hhLg,Fozo0B-y42EhRMomR0K5vQ,2013,10,20,0,"Knorks!"
lJ2rbcLTtIVKW2WzC0hhLg,7wMB3wMbOp0gq3l6nHfOaA,2013,07,24,0,"Canned soda $1.75. I'll skip it."
QGgWWhEi5R4SLAKN-xwtNQ,8nNB_yG1gzVpbqNH2EBucg,2014,03,05,0,"Recommend reservations as they can get a little busy. Also recommend the happy hour. The pork nachos are fantastic."
PZNMPWCViVX8JLsn10MSnQ,JtNVcqioJhS8GZ-If30oHg,2016,04,14,0,"Easy and quick at this location"
rp007n5XVLGJwIOTh9U0-g,XNWXyFgCGaAwvg9QML2Ypw,2016,01,17,0,"Beans dip, guacamole, and salsa is all top notch. It would be hard to find better in the city."
rp007n5XVLGJwIOTh9U0-g,XNWXyFgCGaAwvg9QML2Ypw,2016,08,20,0,"The San Franciscoy ish garlic wings are extremely tasty and their salsa is killer but a little on the scolding hot side."
nbgjz4S8-OCGkVn7-9R5Ow,1dhPgc7E7IzzpxjHM2LphQ,2012,08,03,0,"You will be packed like sardines."
nbgjz4S8-OCGkVn7-9R5Ow,1dhPgc7E7IzzpxjHM2LphQ,2012,11,03,0,"Love mad Mex, and the Robinson location and shadyside are so much better then this college crowd. And when you crave a burrito you, you should actually get a mexican burrito not the thai curry burrito. Burnt chicken and the peanuts were awful! Still love it though."
nbgjz4S8-OCGkVn7-9R5Ow,Mv7N0bU56dhtoDP-m2JOow,2012,02,27,0,"Just gorgeous."
nbgjz4S8-OCGkVn7-9R5Ow,O1ird5yRyuDFnOmYu90OoA,2012,07,07,0,"Bars a little tight, and drinks are a little hefty with the liqour. Also.checks your order at 8."
PAeEkjrXTub0ENa4rZiWvA,CK-Gv3vqIlWOrKP4fhT8_g,2010,11,24,0,"Love this place..."
PAeEkjrXTub0ENa4rZiWvA,o9IvrLWtTt5lCYqO-uiJLg,2011,01,23,0,"HERE WE GO STEELERS, HERE WE GO!!!! @ Heinz Field West! #steelers"
PAeEkjrXTub0ENa4rZiWvA,o9IvrLWtTt5lCYqO-uiJLg,2011,02,06,0,"Here we go Steelers! Here We Go!"
PAeEkjrXTub0ENa4rZiWvA,3_A59jPniLD5ViVuKMYpJw,2010,11,18,0,"First time here... having the breakfast sandwich w/ bacon...."
